id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
49,https://www.coupang.com/vp/products/8633389205?itemId=25048205481&vendorItemId=92052723728,asus,"ºñº¸ºÏ 15, r7 5825u",1,,45,,,r7 5825u,8,single,2,0,15.6,2,3,2.5,-3.701086957,170,3.087782279,42,ips,3,-2.27173913,4.31,-2.752282609,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
85,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,asus,"ºñº¸ºÏ 16, i5 120u",1,,50,,,i5 120u,8,single,2,0,16,3,3,3,-3.201086957,188,8.985507246,42,ips,3,-2.27173913,4.1,-2.962282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
30,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,asus,"ºñº¸ºÏ 16, u5 225h",1,,70,,,u5 225h,16,dual,2,1,16,3,5,4,-2.201086957,189,9.565217391,42,ips,6,0.72826087,4.8,-2.262282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
61,https://www.coupang.com/vp/products/8620714025,asus,"ºñº¸ºÏ 18, r7 260",1,,90,,,r7 260,16,onabord,2,0,18.4,6,6,6,-0.201086957,260,19.23761305,70,ips,6,0.72826087,7.37,0.307717391,9.5,0.75,8.75,ÄíÆÎ,0,0,0,,
82,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,asus,"ºñº¸ºÏ s16, i5 13420h",1,,77,,,i5 13420h,16,single,2,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,2,-3.27173913,5.96,-1.102282609,11.75,1.25,10.5,ÄíÆÎ,0,0,0,,
52,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,asus,"ºñº¸ºÏ s16, r7 350",1,,110,,,r7 350,16,single,2,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
32,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,asus,"ºñº¸ºÏ s16, u5 225h",1,,103,,,u5 225h,16,single,2,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
14,https://www.coupang.com/vp/products/8533865160?itemId=24703151720&vendorItemId=91712741111,asus,"ºñº¸ºÏ s16, u7 255h",1,,113,,,u7 255h,16,onabord,4,1,16,8,8,8,1.798913043,150,-13.04347826,75,oled,7,1.72826087,7.5,0.437717391,10,2,8,ÄíÆÎ,0,0,0,,
44,https://www.coupang.com/vp/products/8399146047,asus,"ºñº¸ºÏs 14, r9 hx370",1,,125,,,r9 hx370,24,onabord,2,0,14,8,5,6.5,0.298913043,130,-3.374461127,75,oled,7,1.72826087,8.82,1.757717391,8.5,0.5,8,ÄíÆÎ,0,0,0,,
15,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,asus,"Á¨ºÏ 14, u7 255h",1,,123,,,u7 255h,16,onaboard,2,1,14,8,8,8,1.798913043,128,-4.861007879,75,oled,7,1.72826087,8.11,1.047717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
16,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,asus,"Á¨ºÏ 14, u7 255h",2,,137,,,u7 255h,32,onaboard,2,1,14,8,8,8,1.798913043,128,-4.861007879,75,oled,7,1.72826087,8.11,1.047717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
28,https://www.coupang.com/vp/products/8641568032,asus,"Á¨ºÏ s14, u5 226v",1,,150,,,u5 226v,16,onaboard,2,1,14,8,8,8,1.798913043,120,-10.80719489,72,oled,6,0.72826087,9.93,2.867717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
29,https://www.coupang.com/vp/products/8410862361,asus,"Á¨ºÏ s14, u5 226v",2,,150,,,u5 226v,16,onaboard,2,1,14,8,8,8,1.798913043,120,-10.80719489,72,oled,6,0.72826087,9.93,2.867717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
