id,link,brand,name,remark,variant,sold_out,on_crawl,is_active,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,screen_type,portability,display,cpu_style,weight,battery,Unnamed: 25,market,lasust_update,last_update,benefit_count
,https://www.coupang.com/vp/products/8775686288?itemid=25530075131&vendoritemid=92521813430,asus,"TUF A16, R9 8940HX/5070 WQXGA",,,,1.0,1.0,190.0,202.0,6.3,R9 8940HX,5070,16.0,single,512.0,0.0,16.0,,5.0,6.0,1.0,,,,쿠팡,,2026-04-12 04:15,4.0
,https://www.coupang.com/vp/products/8899002146?itemid=25984595201&vendoritemid=92967046632,asus,"TUF A18, R7 260/5050",,,,1.0,1.0,160.0,146.052,-8.7,R7 260,5050,16.0,single,512.0,0.0,18.0,,1.0,4.0,0.0,,,,쿠팡,,2026-04-12 04:23,6.0
,https://www.coupang.com/vp/products/8773992950?itemid=25523735423&vendoritemid=92515547957,asus,"TUF A18, R7 260/5060",,,,1.0,1.0,180.0,179.9,-0.1,R7 260,5060,16.0,single,512.0,0.0,18.0,,1.0,4.0,0.0,,,,쿠팡,,2026-04-12 04:30,6.0
,https://www.coupang.com/vp/products/8835398704?itemid=25746757768&vendoritemid=92735093516,asus,"TUF A18, R7 260/5070",,,,1.0,1.0,200.0,193.9,-3.0,R7 260,5070,16.0,single,512.0,0.0,18.0,,1.0,4.0,0.0,,,,쿠팡,,2026-04-12 04:38,4.0
,https://www.coupang.com/vp/products/9167902430?itemid=27014590927&vendoritemid=93983227395,asus,"TUF F16, i5 14450HX/5050",,,,1.0,1.0,140.0,141.9,1.4,i5 14450HX,5050,16.0,single,512.0,0.0,14.0,,5.0,4.0,1.0,,,,쿠팡,,2026-04-12 04:44,0.0
,https://www.coupang.com/vp/products/8835024384?itemid=25745774086&vendoritemid=92734130287,asus,"TUF F16, i7 14650HX/5060 WQXGA",,,,1.0,1.0,165.0,175.978,6.7,i7 14650HX,5060,16.0,single,512.0,0.0,14.0,,5.0,6.0,1.0,,,,쿠팡,,2026-04-12 04:50,6.0
,https://www.coupang.com/vp/products/8982779083?itemid=26301942628&vendoritemid=93279668232,asus,"TUF F16, i7 14650HX/5070 WQXGA",,,,1.0,1.0,185.0,194.277,5.0,i7 14650HX,5070,16.0,single,512.0,0.0,14.0,,5.0,6.0,1.0,,,,쿠팡,,2026-04-12 04:57,6.0
,https://www.coupang.com/vp/products/9395836180?itemid=27904531391&vendoritemid=94863309099,gigabyte,"에어로 X16, R7 350/5060",16GB 램,1.0,,1.0,1.0,180.0,365.0,102.8,R7 350,5060,16.0,dual,512.0,0.0,16.0,,8.0,6.0,0.0,190.0,76.0,,쿠팡,,2026-04-12 05:04,0.0
,https://www.coupang.com/vp/products/8938802218?itemid=26137504736&vendoritemid=93117664782,gigabyte,"에어로 X16, R7 350/5060",32GB 램,2.0,,1.0,1.0,195.0,229.9,17.9,R7 350,5060,32.0,dual,512.0,0.0,16.0,,8.0,6.0,0.0,190.0,76.0,,쿠팡,,2026-04-12 05:11,0.0
,https://www.coupang.com/vp/products/7685542307?itemid=19025582401&vendoritemid=86149803397,hp,"빅터스 16, i5 13500HX/4060",,,,1.0,1.0,125.0,123.6882,-1.0,i5 13500HX,4060,16.0,dual,512.0,0.0,16.0,,3.0,4.0,1.0,,,,쿠팡,,2026-04-12 05:18,4.0
