id,link,brand,name,remark,variant,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,portability,display,cpu_style,weight,battery,Unnamed: 23,market,last_update,benefit_count
,https://www.coupang.com/vp/products/8899002151?itemId=25984595232&vendorItemId=92967046664,ASUS,"TUF A14, R7 350/5060",,,,0,,219.9,,R7 350,5060,32.0,onboard,1024.0,0.0,14.0,9.0,6.0,0.0,,,,쿠팡,2026-04-01 02:45,0.0
,https://www.coupang.com/vp/products/8826112134?itemId=25719163101&vendorItemId=92707939317,HP,"오멘 16, R7 350/5060",,,,0,,200.899,,R7 350,5060,32.0,dual,512.0,0.0,16.0,3.0,7.0,0.0,,,,쿠팡,2026-04-01 02:51,7.0
,https://www.coupang.com/vp/products/8941557079?itemId=26148695560&vendorItemId=93128696273,HP,"오멘 17, R7 350/5060",,,,0,,229.9,,R7 350,5060,32.0,dual,512.0,0.0,17.3,1.0,7.0,0.0,,,,쿠팡,2026-04-01 02:57,0.0
,https://www.coupang.com/vp/products/8771136679?itemId=25513329531&vendorItemId=92505305899,HP,"오멘 맥스 16, R7 350/5070 Ti",,,,0,,329.0,,R7 350,5070 Ti,32.0,dual,1024.0,1.0,16.0,1.0,7.0,0.0,,,,쿠팡,2026-04-01 03:02,9.0
,https://www.coupang.com/vp/products/9018648022,Lenovo,"리전 5 15AKP10, R7 350/5070",,,,0,,300.0,,R7 350,5070,32.0,dual,1024.0,0.0,15.1,6.0,8.0,0.0,,,,쿠팡,2026-04-01 03:08,0.0
,https://www.coupang.com/vp/products/8826133206?itemId=25719248433&vendorItemId=92708022379,HP,"오멘 맥스 16, R9 375HX/5060",,,,0,,285.95,,R9 375HX,5060,32.0,dual,512.0,1.0,16.0,2.0,7.0,0.0,,,,쿠팡,2026-04-01 03:14,0.0
,https://www.coupang.com/vp/products/8763580498?itemId=25484221675&vendorItemId=92476480219,HP,"오멘 맥스 16, R9 375HX/5080",,,,0,,419.0,,R9 375HX,5080,32.0,dual,1024.0,1.0,16.0,1.0,7.0,0.0,,,,쿠팡,2026-04-01 03:20,8.0
,https://www.coupang.com/vp/products/8775686288?itemId=25530075131&vendorItemId=92521813430,ASUS,"TUF A16, R9 8940HX/5070 WQXGA",,,,0,,202.0,,R9 8940HX,5070,16.0,single,512.0,0.0,16.0,5.0,6.0,1.0,,,,쿠팡,2026-04-01 03:26,4.0
,https://www.coupang.com/vp/products/8837462423?itemId=25754178542&vendorItemId=92742426422,HP,"오멘 16, R9 8940HX/5060",,,,0,,244.726,,R9 8940HX,5060,32.0,dual,1024.0,0.0,16.0,3.0,7.0,1.0,,,,쿠팡,2026-04-01 03:32,0.0
,https://www.coupang.com/vp/products/8711669095?itemId=26764774488&vendorItemId=93735603813,msi,"레이더 A18, R9 9955HX/5080",,,,0,,398.343,,R9 9955HX,5080,16.0,dual,1024.0,0.0,18.0,1.0,8.0,1.0,360.0,99.0,,쿠팡,2026-04-01 03:38,0.0
,https://www.coupang.com/vp/products/8733078928?itemId=25376712122&vendorItemId=92370774835,ASUS,"ROG 스트릭스 G16, R9 9955HX3D/5070 Ti",,1.0,,0,,304.9,,R9 9955HX3D,5070 Ti,16.0,single,1024.0,0.0,16.0,2.0,8.0,1.0,,,,쿠팡,2026-04-01 03:43,4.0
,https://www.coupang.com/vp/products/8733078928?itemId=25777643455&vendorItemId=92765623467,ASUS,"ROG 스트릭스 G16, R9 9955HX3D/5070 Ti",win11,2.0,,0,,319.9,,R9 9955HX3D,5070 Ti,16.0,single,1024.0,0.0,16.0,2.0,8.0,1.0,,,,쿠팡,2026-04-01 03:49,0.0
,https://www.coupang.com/vp/products/9277699361?itemId=27465445395&vendorItemId=94430699317,HP,"오멘 16, U7 255H/5060",,,,0,,202.8,,U7 255H,5060,24.0,single,1024.0,0.0,16.0,3.0,7.0,0.0,,,,쿠팡,2026-04-01 03:55,0.0
,https://www.coupang.com/vp/products/8771764425?itemId=25515886631&vendorItemId=92507808343,msi,"벡터 16, U7 275HX/5070 Ti",,,,0,,289.9,,U7 275HX,5070 Ti,16.0,dual,1024.0,0.0,16.0,1.0,8.0,1.0,270.0,90.0,,쿠팡,2026-04-01 04:01,0.0
