id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,last_update
6,https://www.coupang.com/vp/products/8579806173?itemId=24867355094&vendorItemId=91874318252,asus,"[ARM] 젠북 A14, X1-26",1,,,0,110,119.889,9.0,x1-26,16,onboard,512,1,14.0,6.0,90,48,ips,3,5.5,쿠팡,,8.727272727,1.288152099,-0.525316456,-31.55893536,-2.924050633,2026-03-21 04:05
23,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"옴니북 3 14, i3 1315u",1,,,0,45,58.053,29.0,i3 1315u,8,dual,256,1,14.0,3.0,140,41,ips,3,9.5,쿠팡,,4.315789474,-3.123331155,-3.525316456,6.463878327,-2.924050633,2026-03-21 04:10
19,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"노트북 14, i5 1334u",1,램 장착 권장,,0,45,61.9,37.6,i5 1334u,8,single,256,0,14.0,3.0,140,41,ips,3,9.5,쿠팡,,4.315789474,-3.123331155,-3.525316456,6.463878327,-2.924050633,2026-03-21 04:15
25,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"옴니북 5 nagi 16, r5 340",1,,,0,78,113.905,46.0,r5 340,16,onboard,512,1,16.0,4.0,179,43,ips,5,8.75,쿠팡,,4.914285714,-2.524834914,-2.525316456,7.831325301,-0.924050633,2026-03-21 04:21
27,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 x 플립 14, r7 340 oled",1,,,0,128,190.9,49.1,r5 340,16,onboard,512,1,14.0,8.0,141,59,oled,5,9.25,쿠팡,,6.378378378,-1.06074225,1.474683544,7.224334601,-0.924050633,2026-03-21 04:26
20,https://www.coupang.com/vp/products/8099175514?itemId=22901913166&vendorItemId=89936416843,hp,"노트북 15, r5 7430u",1,램 장착 권장,,0,47,51.205,8.9,r5 7430u,8,single,256,0,15.6,3.0,159,41,ips,3,9.75,쿠팡,,4.205128205,-3.233992424,-3.525316456,-0.062853551,-2.924050633,2026-03-21 04:31
21,https://www.coupang.com/vp/products/8703035211?itemId=25273784880&vendorItemId=92269450641,hp,"노트북 255 G10, r5 7530u",1,,,0,50,50.9,1.8,r5 7530u,8,single,256,0,15.6,2.0,152,41,ips,3,9.0,쿠팡,,4.555555556,-2.883565073,-4.525316456,-4.462602137,-2.924050633,2026-03-21 04:37
24,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, r7 340",1,,,0,72,92.055,27.9,r5 340,16,dual,256,1,15.6,3.0,170,41,ips,5,8.75,쿠팡,,4.685714286,-2.753406343,-3.525316456,6.851037084,-0.924050633,2026-03-21 04:42
26,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"옴니북 7 에어로 13, r7 350",1,,2.0,0,133,,,r7 350,32,onboard,512,1,13.0,6.0,99,43,ips,7,8.0,쿠팡,,5.375,-2.064120629,-0.525316456,-13.34792123,1.075949367,
28,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"옴니북 x 플립 14, u5 226v ips",1,,,0,107,151.05,41.2,u5 226v,16,onboard,512,1,14.0,4.0,139,59,ips,7,6.0,쿠팡,,9.833333333,2.394212705,-2.525316456,5.703422053,1.075949367,2026-03-21 04:57
29,https://www.coupang.com/vp/products/8734831107?itemId=25383774207&vendorItemId=92377682363,hp,"옴니북 x 플립 14, u5 226v oled",1,,,0,139,139.9,0.6,u5 226v,16,onboard,512,1,14.0,8.0,139,59,oled,7,7.25,쿠팡,,8.137931034,0.698810406,1.474683544,5.703422053,1.075949367,2026-03-21 05:03
31,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"옴니북 울트라 플립 14, u5 226v",1,,2.0,0,176,,,u5 226v,16,onboard,1024,1,14.0,8.0,135,64,oled,7,7.25,쿠팡,,8.827586207,1.388465578,1.474683544,2.661596958,1.075949367,
22,https://www.coupang.com/vp/products/8849752787?itemId=25016750920&vendorItemId=92021599232,hp,"엘리트북 울트라 g1i 14, u5 228v",1,,1.0,0,210,205.766,,u5 228v,32,onboard,512,1,14.0,8.0,119,64,oled,7,6.75,쿠팡,,9.481481481,2.042360853,1.474683544,-9.505703422,1.075949367,2026-03-21 05:18
30,https://www.coupang.com/vp/products/8829827803?itemId=25383774406&vendorItemId=92377682706,hp,"옴니북 x 플립 14, u7 258v oled",1,,,0,160,169.9,6.2,u7 258v,32,onboard,512,1,14.0,8.0,139,59,oled,8,7.25,쿠팡,,8.137931034,0.698810406,1.474683544,5.703422053,2.075949367,2026-03-21 05:23
