id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,last_update
1,https://www.coupang.com/vp/products/8563924172?itemId=24803637451&vendorItemId=91811310020,acer,"스위프트 14, u7 258v",1,,,0,149,182.061,22.2,u7 258v,32,onboard,512,1,14.0,8.0,126,65,oled,8,7.25,쿠팡,,8.965517241,1.526396613,1.474683544,-4.182509506,2.075949367,2026-03-21 17:46
12,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,asus,"비보북 s16, u5 225h",1,,,0,110,100.704,-8.5,u5 225h,16,single,512,1,16.0,6.5,170,70,oled,7,9.25,쿠팡,,7.567567568,0.128446939,-0.025316456,2.409638554,1.075949367,2026-03-21 17:48
15,https://www.coupang.com/vp/products/8410862361?itemId=24318990059&vendorItemId=91334761271,asus,"젠북 s14, u5 226v",1,그레이,,0,160,179.9,12.4,u5 226v,16,onaboard,512,1,14.0,8.0,120,72,oled,7,7.25,쿠팡,,9.931034483,2.491913854,1.474683544,-8.745247148,1.075949367,2026-03-21 17:49
14,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,asus,"젠북 14, u7 255h",2,,,0,146,165.899,13.6,u7 255h,32,onaboard,512,1,14.0,8.0,128,75,oled,8,9.25,쿠팡,,8.108108108,0.668987479,1.474683544,-2.661596958,2.075949367,2026-03-21 17:50
17,https://www.coupang.com/vp/products/8544270516?itemId=24738885102&vendorItemId=91747617943,asus,"젠북 s16, u7 258v",1,,,0,203,257.38,26.8,u7 258v,32,onaboard,1024,1,16.0,8.0,150,78,oled,8,8.0,쿠팡,,9.75,2.310879371,1.474683544,-9.638554217,2.075949367,2026-03-21 17:52
30,https://www.coupang.com/vp/products/8829827803?itemId=25383774406&vendorItemId=92377682706,hp,"옴니북 x 플립 14, u7 258v oled",1,,,0,160,169.9,6.2,u7 258v,32,onboard,512,1,14.0,8.0,139,59,oled,8,7.25,쿠팡,,8.137931034,0.698810406,1.474683544,5.703422053,2.075949367,2026-03-21 17:53
32,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"옴니북 울트라 플립 14, u7 258v",1,,,0,203,204.899,0.9,u7 258v,32,onboard,1024,1,14.0,8.0,135,64,oled,8,7.25,쿠팡,,8.827586207,1.388465578,1.474683544,2.661596958,2.075949367,2026-03-21 17:54
34,https://www.coupang.com/vp/products/9128738400?itemId=26858501933&vendorItemId=93828215044,lenovo,"V15 G5 IRL, i5 13420H",1,,,0,56,59.89,6.9,i5 13420h,16,onboard,256,0,15.6,3.0,161,47,ips,2,10.5,쿠팡,,4.476190476,-2.962930152,-3.525316456,1.194217473,-3.924050633,2026-03-21 17:56
53,https://www.coupang.com/vp/products/8673080963?itemId=25177237369&vendorItemId=92174218910,lenovo,"요가 7 2in1 14ill10, u5 228v",1,"그레이, 512GB",,0,160,153.87,-3.8,u5 228v,32,onboard,512,1,14.0,8.0,138,70,oled,7,7.25,쿠팡,,9.655172414,2.216051785,1.474683544,4.942965779,1.075949367,2026-03-21 17:57
