id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
69,https://www.coupang.com/vp/products/8789578488,le,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",1,,730000,797050,9.2,r5 7533hs,8,single,1,0,15.1,8,8,151,60,oled,4,5.22,11.5,2,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 12:37
12,https://www.coupang.com/vp/products/8941646336?itemId=26149113277&vendorItemId=93129106561,hp,"옴니북 x 플립 14, u7 256v oled",1,,1350000,1489600,10.3,u7 256v,32,onboard,2,1,14,8,8,139,59,oled,7,8.14,7.25,1.25,6,쿠팡,1,0,1,,2026-03-07 11:29
17,https://www.coupang.com/vp/products/8883267474,le,"아이디어패드 슬림5 16iah10, u7 255h",1,,1220000,1349000,10.6,u7 255h,24,dual,2,0,16,9,8,169,60,oled,7,6,10,2,8,쿠팡,0,0,0,,2026-03-07 13:21
85,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,as,"비보북 16, i5 120u",1,,500000,555680,11.1,i5 120u,8,single,2,0,16,3,3,188,42,ips,3,4.1,10.25,0.75,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 9:17
73,https://www.coupang.com/vp/products/8099175514,hp,"노트북 15, r5 7430u",1,,420000,469300,11.7,r5 7430u,8,single,1,0,15.6,3,3,159,41,ips,3,4.21,9.75,0.75,9,쿠팡,0,0,0,램 장착 권장,2026-03-07 10:21
1,https://www.coupang.com/vp/products/8500861707?itemId=24607850297&vendorItemId=91619213519,hp,"옴니북 울트라 플립 14, u9 288v",1,,1900000,2129000,12.1,u9 288v,32,onboard,4,1,14,8,8,135,64,oled,7,8.83,7.25,1.25,6,쿠팡,1,0,3,,2026-03-07 11:43
16,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,as,"젠북 14, u7 255h",2,,1370000,1549000,13.1,u7 255h,32,onaboard,2,1,14,8,8,128,75,oled,7,8.11,9.25,1.25,8,쿠팡,0,0,0,,2026-03-07 9:52
46,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,le,"씽크북 14arp G7 R7, r7 7735hs",1,,700000,799000,14.1,r7 7735hs,16,single,2,0,14,6,5,138,60,ips,5,6.32,9.5,0,9.5,쿠팡,0,0,0,,2026-03-07 12:06
61,https://www.coupang.com/vp/products/8620714025,as,"비보북 18, r7 260",1,,900000,1039000,15.4,r7 260,16,onabord,2,0,18.4,6,6,260,70,ips,6,7.37,9.5,0.75,8.75,쿠팡,0,0,0,,2026-03-07 9:25
55,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 x 플립 14, r7 350 oled",1,,1430000,1659000,16,r7 350,32,onboard,4,1,14,8,8,141,59,oled,6,6.38,9.25,1.25,8,쿠팡,1,0,1,,2026-03-07 11:18
37,https://www.coupang.com/vp/products/8518435238?itemId=24662380338&vendorItemId=91672792997,lg,"그램프로 16, u5 225h",2,,1650000,1917460,16.2,u5 225h,16,onboard,1,1,16,7,8,120,77,ips,6,8.11,9.5,1.5,8,쿠팡,0,0,2,화이트,2026-03-07 14:07
29,https://www.coupang.com/vp/products/8410862361,as,"젠북 s14, u5 226v",2,,1500000,1745030,16.3,u5 226v,16,onaboard,2,1,14,8,8,120,72,oled,6,9.93,7.25,1.25,6,쿠팡,0,0,0,,2026-03-07 9:59
89,https://www.coupang.com/vp/products/8773621852,ac,"아스파이어 라이트 16, i3 1305u",1,,420000,490050,16.7,i3 1305u,8,single,2,0,16,3,5,170,58,ips,2,5.66,10.25,0.75,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 9:02
39,https://www.coupang.com/vp/products/8518435234?itemId=24662380327&vendorItemId=91672792982,lg,"그램프로 360 16, u5 225h",1,,1650000,1925100,16.7,u5 225h,16,onboard,1,1,16,7,8,140,77,ips,6,8.11,9.5,1.5,8,쿠팡,1,0,2,,2026-03-07 14:21
