id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update,sold_out
8.0,https://www.coupang.com/vp/products/8642000420?itemId=25080090882&vendorItemId=92084007696,as,"젠북 s14, u7 258v",1,1750000,1899000.0,u7 258v,32,onaboard,2,1,14.0,8,8,120,72,oled,7,9.93,7.25,1.25,6.0,쿠팡,0,0,0.0,,2026-02-26 05:14,
9.0,https://www.coupang.com/vp/products/8544270516,as,"젠북 s16, u7 258v",1,1900000,2604100.0,u7 258v,32,onaboard,4,1,16.0,8,8,150,78,oled,7,9.75,8.0,2.0,6.0,쿠팡,0,0,0.0,,2026-02-26 05:22,
10.0,https://www.coupang.com/vp/products/8641990955,as,"젠북 s16, u7 258v",2,1900000,,u7 258v,32,onaboard,4,1,16.0,8,8,150,78,oled,7,9.75,8.0,2.0,6.0,쿠팡,0,0,0.0,,2026-02-26 05:31,
84.0,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"노트북 14, i5 1334u",1,400000,613860.0,i5 1334u,8,single,1,0,14.0,3,3,140,41,ips,3,4.32,9.5,0.0,9.5,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 05:40,
73.0,https://www.coupang.com/vp/products/8099175514,hp,"노트북 15, r5 7430u",1,420000,,r5 7430u,8,single,1,0,15.6,3,3,159,41,ips,3,4.21,9.75,0.75,9.0,쿠팡,0,0,0.0,램 장착 권장,2026-02-26 05:48,
90.0,https://www.coupang.com/vp/products/8721859542,hp,"노트북 17, i3 1215u",1,430000,849800.0,i3 1215u,8,dual,1,1,17.3,3,3,238,41,ips,2,3.64,11.25,0.75,10.5,쿠팡,0,0,0.0,,2026-02-26 05:57,
88.0,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"옴니북 3 14, i3 1315u",1,400000,549000.0,i3 1315u,8,dual,1,1,14.0,3,3,140,41,ips,3,4.32,9.5,0.0,9.5,쿠팡,0,0,0.0,,2026-02-26 06:06,
86.0,https://www.coupang.com/vp/products/8648574647?itemId=25102068022&vendorItemId=92104783099,hp,"옴니북 3 14, i3 1315u",1,480000,,i3 1315u,16,dual,2,1,14.0,3,3,140,41,ips,3,4.32,9.5,0.0,9.5,쿠팡,0,0,0.0,,a,1
51.0,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, r7 340",1,680000,1085610.0,r7 340,16,dual,1,1,15.6,3,3,170,41,ips,4,4.69,8.75,0.75,8.0,쿠팡,0,0,0.0,,2026-02-26 06:15,
51.0,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, r7 350",1,750000,1085610.0,r7 350,16,dual,1,1,15.6,3,3,170,41,ips,6,4.69,8.75,0.75,8.0,쿠팡,0,0,0.0,,2026-02-26 06:23,
65.0,https://www.coupang.com/vp/products/8847458166?itemId=25789395906&vendorItemId=92777182389,hp,"옴니북 5 16, r5 8540u",1,630000,,r5 8540u,16,onboard,2,1,16.0,3,5,179,59,ips,5,6.56,9.0,0.75,8.25,쿠팡,0,0,0.0,,a,1
45.0,https://www.coupang.com/vp/products/8847458161?itemId=25789395889&vendorItemId=92777182376,hp,"옴니북 5 16, r7 8840u",1,690000,1169490.0,r7 8840u,16,onboard,2,1,16.0,3,5,179,59,ips,7,6.56,9.0,0.75,8.25,쿠팡,0,0,0.0,,2026-02-26 06:32,
13.0,https://www.coupang.com/vp/products/8952675279?itemId=26188749438&vendorItemId=93168174673,hp,"옴니북 5 16, u7 255u",1,830000,1459000.0,u7 255u,32,onboard,2,1,16.0,3,5,177,59,ips,7,7.15,8.25,0.75,7.5,쿠팡,0,0,0.0,,2026-02-26 06:40,
76.0,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"옴니북 5 nagi 16, r5 340",1,730000,1031010.0,r5 340,16,onboard,2,1,16.0,3,5,179,43,ips,4,4.91,8.75,0.75,8.0,쿠팡,0,0,0.0,,2026-02-26 06:49,
78.0,https://www.coupang.com/vp/products/8734683667,hp,"옴니북 7 에어로 13, r5 340",1,1000000,1311020.0,r5 340,16,onboard,2,1,13.3,6,7,99,43,ips,4,4.91,8.75,0.75,8.0,쿠팡,0,0,0.0,,2026-02-26 06:58,
62.0,https://www.coupang.com/vp/products/9126828332,hp,"옴니북 7 에어로 13, r5 8640u",1,870000,1342700.0,r5 8640u,16,onboard,1,0,13.3,6,5,99,43,ips,5,5.21,8.25,0.0,8.25,쿠팡,0,0,0.0,,2026-02-26 07:06,
53.0,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"옴니북 7 에어로 13, r7 350",1,1250000,1584040.0,r7 350,32,onboard,2,1,13.0,6,6,99,43,ips,6,5.38,8.0,0.0,8.0,쿠팡,0,0,0.0,,2026-02-26 07:15,
59.0,https://www.coupang.com/vp/products/8721859355?itemId=25335208306&vendorItemId=92329958394,hp,"옴니북 x 플립 14, r7 340 ips",1,900000,1257160.0,r5 340,16,onboard,2,1,14.0,3,5,141,59,ips,4,7.38,8.0,0.0,8.0,쿠팡,1,0,1.0,,2026-02-26 07:25,
60.0,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 x 플립 14, r7 340 oled",1,1200000,1669000.0,r5 340,16,onboard,2,1,14.0,8,8,141,59,oled,4,6.38,9.25,1.25,8.0,쿠팡,1,0,1.0,,2026-02-26 07:33,
55.0,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 x 플립 14, r7 350 oled",1,1430000,1669000.0,r7 350,32,onboard,4,1,14.0,8,8,141,59,oled,6,6.38,9.25,1.25,8.0,쿠팡,1,0,1.0,,2026-02-26 07:42,
23.0,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"옴니북 x 플립 14, u5 226v ips",1,1000000,1530000.0,u5 226v,16,onboard,2,1,14.0,3,5,139,59,ips,6,9.83,6.0,0.0,6.0,쿠팡,1,0,1.0,,2026-02-26 07:51,
26.0,https://www.coupang.com/vp/products/8734831107,hp,"옴니북 x 플립 14, u5 226v oled",1,1300000,1376100.0,u5 226v,16,onboard,2,1,14.0,8,8,139,59,oled,6,8.14,7.25,1.25,6.0,쿠팡,1,0,1.0,,2026-02-26 07:59,
12.0,https://www.coupang.com/vp/products/8941646336?itemId=26149113277&vendorItemId=93129106561,hp,"옴니북 x 플립 14, u7 256v oled",1,1350000,1304100.0,u7 256v,32,onboard,2,1,14.0,8,8,139,59,oled,7,8.14,7.25,1.25,6.0,쿠팡,1,0,1.0,,2026-02-26 08:08,
2.0,https://www.coupang.com/vp/products/8771707549?itemId=25383774409&vendorItemId=92377682730,hp,"옴니북 x 플립 14, u7 258v ips",1,1200000,1619000.0,u7 258v,32,onboard,2,1,14.0,3,5,139,59,ips,7,9.83,6.0,0.0,6.0,쿠팡,1,0,1.0,,2026-02-26 08:16,
5.0,https://www.coupang.com/vp/products/8734831107,hp,"옴니북 x 플립 14, u7 258v oled",1,1500000,1376100.0,u7 258v,32,onboard,2,1,14.0,8,8,139,59,oled,7,8.14,7.25,1.25,6.0,쿠팡,1,0,1.0,,2026-02-26 08:25,
