id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update,brand_score,price_score,budgetfit_score,size_score,weight_score,battery_score,graphic_score,display_score,ips_score,oled_score,window_score,overall_score
4.0,https://www.coupang.com/vp/products/8563924172,acer,"½ºÀ§ÇÁÆ® 14, u7 258v",1.0,,1400000.0,1473430.0,5.2,u7 258v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,126.0,-6.472684086,65.0,oled,7.0,1.73,8.97,1.91,7.25,1.25,6.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-6.24,-5.0,-5,3.8836104516,5.7299999999999995,-1.73,5.4,0,0,0,62.0436104516
40.0,https://www.coupang.com/vp/products/8906849724,acer,"½ºÀ§ÇÁÆ® °í 14, u5 225h",1.0,,1050000.0,1408410.0,34.1,u5 225h,16.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,130.0,-3.503562945,63.0,oled,6.0,0.73,6.81,-0.25,9.25,1.25,8.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-24.0,-5.0,-5,2.1021377670000003,-0.75,-0.73,5.4,0,0,0,37.022137767000004
79.0,https://www.coupang.com/vp/products/8869135849,acer,"½ºÀ§ÇÁÆ® °í 16, r5 340",1.0,,1220000.0,1599800.0,31.1,r5 340,16.0,onboard,4.0,1.0,16.0,8.0,8.0,8.0,1.8,150.0,-13.13412092,75.0,oled,4.0,-1.27,7.5,0.44,10.0,2.0,8.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-24.0,-5.0,5,7.8804725520000005,1.32,1.27,5.4,0,0,0,46.870472552
54.0,https://www.coupang.com/vp/products/8869191358,acer,"½ºÀ§ÇÁÆ® °í 16, r7 350",1.0,,1320000.0,2159800.0,63.6,r7 350,32.0,onboard,4.0,1.0,16.0,8.0,8.0,8.0,1.8,150.0,-13.13412092,75.0,oled,6.0,0.73,7.5,0.44,10.0,2.0,8.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-24.0,-5.0,5,7.8804725520000005,1.32,-0.73,5.4,0,0,0,44.870472552
11.0,https://www.coupang.com/vp/products/9089345677,acer,"½ºÀ§ÇÁÆ® ¿§Áö 14, u7 258v",1.0,,1750000.0,2100000.0,20.0,u7 258v,32.0,onboard,2.0,1.0,14.0,9.0,8.0,8.5,2.3,99.0,-26.51425178,65.0,oled,7.0,1.73,8.97,1.91,7.25,1.25,6.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-24.0,-5.0,-5,15.0,5.7299999999999995,-1.73,6.8999999999999995,0,0,0,56.9
42.0,https://www.coupang.com/vp/products/8987732920,acer,"¾Æ½ºÆÄÀÌ¾î °í 14, u5 125h",1.0,,700000.0,1149800.0,64.3,u5 125h,16.0,onboard,2.0,1.0,14.0,6.0,5.0,5.5,-0.7,147.0,9.1152019,54.0,ips,6.0,0.73,6.17,-0.89,8.75,0.0,8.75,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-24.0,-5.0,-5,-5.46912114,-2.67,-0.73,-2.0999999999999996,0,0,0,20.03087886
89.0,https://www.coupang.com/vp/products/8773621852,acer,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i3 1305u",1.0,,420000.0,490050.0,16.7,i3 1305u,8.0,single,2.0,0.0,16.0,3.0,5.0,4.0,-2.2,170.0,-1.552003706,58.0,ips,2.0,-3.27,5.66,-1.4,10.25,0.75,9.5,ÄíÆÎ,0.0,0.0,0.0,·¥ ÀåÂø ±ÇÀå,,0.0,-20.04,-5.0,5,0.9312022236000002,-4.199999999999999,3.27,-6.6000000000000005,0,0,0,28.3612022236
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"½ºÀ§ÇÁÆ® ¶óÀÌÆ® 16, u5 115u",1.0,,750000.0,735050.0,-2.0,u5 115u,16.0,onboard,2.0,1.0,16.0,3.0,5.0,4.0,-2.2,119.0,-31.08640259,58.0,ips,4.0,-1.27,6.44,-0.62,9.0,0.75,,ÄíÆÎ,0.0,0.0,,,,0.0,2.4,-5.0,5,15.0,-1.8599999999999999,1.27,-6.6000000000000005,0,0,0,65.21
83.0,https://www.coupang.com/vp/products/8708067859,acer,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i5 1335u",1.0,,520000.0,697550.0,34.1,i5 1335u,8.0,single,2.0,0.0,16.0,3.0,5.0,4.0,-2.2,170.0,-1.552003706,58.0,ips,3.0,-2.27,5.66,-1.4,10.25,0.75,9.5,ÄíÆÎ,0.0,0.0,0.0,·¥ ÀåÂø ±ÇÀå,,0.0,-24.0,-5.0,5,0.9312022236000002,-4.199999999999999,2.27,-6.6000000000000005,0,0,0,23.401202223600002
49.0,https://www.coupang.com/vp/products/8633389205?itemId=25048205481&vendorItemId=92052723728,asus,"ºñº¸ºÏ 15, r7 5825u",1.0,,450000.0,571330.0,27.0,r7 5825u,8.0,single,2.0,0.0,15.6,2.0,3.0,2.5,-3.7,170.0,2.975382826,42.0,ips,3.0,-2.27,4.31,-2.75,9.75,0.75,9.0,ÄíÆÎ,0.0,0.0,0.0,·¥ ÀåÂø ±ÇÀå,,0.0,-24.0,-5.0,5,-1.7852296956000002,-8.25,2.27,-10.0,0,0,0,13.234770304400001
