id,link,brand,name,remark,variant,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,portability,display,cpu_style,weight,battery,,market,last_update
,https://www.coupang.com/vp/products/8826133206?itemId=25719248433&vendorItemId=92708022379,HP,"¿À¸à ¸Æ½º 16, R9 375HX/5060",,,,0,,,,R9 375HX,5060,32,dual,512,1,16,2,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8763580498?itemId=25484221675&vendorItemId=92476480219,HP,"¿À¸à ¸Æ½º 16, R9 375HX/5080",,,,0,,,,R9 375HX,5080,32,dual,1024,1,16,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8775686288?itemId=25530075131&vendorItemId=92521813430,ASUS,"TUF A16, R9 8940HX/5070 WQXGA",,,,0,,,,R9 8940HX,5070,16,single,512,0,16,5,6,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8837462423?itemId=25754178542&vendorItemId=92742426422,HP,"¿À¸à 16, R9 8940HX/5060",,,,0,,,,R9 8940HX,5060,32,dual,1024,0,16,3,7,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8711669095?itemId=26764774488&vendorItemId=93735603813,msi,"·¹ÀÌ´õ A18, R9 9955HX/5080",,,,0,,,,R9 9955HX,5080,16,dual,1024,0,18,1,8,1,360,99,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8733078928?itemId=25376712122&vendorItemId=92370774835,ASUS,"ROG ½ºÆ®¸¯½º G16, R9 9955HX3D/5070 Ti",,1,,0,,,,R9 9955HX3D,5070 Ti,16,single,1024,0,16,2,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8733078928?itemId=25777643455&vendorItemId=92765623467,ASUS,"ROG ½ºÆ®¸¯½º G16, R9 9955HX3D/5070 Ti",win11,2,,0,,,,R9 9955HX3D,5070 Ti,16,single,1024,0,16,2,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9277699361?itemId=27465445395&vendorItemId=94430699317,HP,"¿À¸à 16, U7 255H/5060",,,,0,,,,U7 255H,5060,24,single,1024,0,16,3,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8771764425?itemId=25515886631&vendorItemId=92507808343,msi,"º¤ÅÍ 16, U7 275HX/5070 Ti",,,,0,,,,U7 275HX,5070 Ti,16,dual,1024,0,16,1,8,1,270,90,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8715362832?itemId=25312533063&vendorItemId=92307623157,msi,"º¤ÅÍ 16, U7 275HX/5080",,,,0,,,,U7 275HX,5080,16,dual,1024,0,16,1,8,1,270,90,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8904297554?itemId=26003982478&vendorItemId=92986077906,acer,"Çï¸®¿À½º ³×¿À 16 ½½¸², U9 275HX/5060",,,,0,,,,U9 275HX,5060,32,dual,1024,0,16,6,9,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8880588148?itemId=25917512831&vendorItemId=92903064695,acer,"Çï¸®¿À½º ³×¿À 16, U9 275HX/5070",,,,0,,,,U9 275HX,5070,32,dual,1024,0,16,3,8,1,,,,ÄíÆÎ,
,,acer,"Çï¸®¿À½º ³×¿À 16, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,0,16,3,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8971714769?itemId=26258100341&vendorItemId=93236465468,acer,"Çï¸®¿À½º ³×¿À 18, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,0,18,1,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8721382195?itemId=25333537099&vendorItemId=92328320231,ASUS,"ROG ½ºÆ®¸¯½º G16, U9 275HX/5080",,,,0,,,,U9 275HX,5080,32,dual,1024,0,16,2,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8790276970?itemId=25584164030&vendorItemId=92575058855,ASUS,"ROG ½ºÆ®¸¯½º G18, U9 275HX/5070",,,,0,,,,U9 275HX,5070,32,dual,1024,0,18,1,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8792486494?itemId=25592949982&vendorItemId=92583699379,ASUS,"ROG ½ºÆ®¸¯½º G18, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,0,18,1,8,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8758944787?itemId=25467752802&vendorItemId=92460264359,HP,"¿À¸à ¸Æ½º 16, U9 275HX/5070",,,,0,,,,U9 275HX,5070,32,dual,1024,1,16,2,7,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8771223830?itemId=25513732236&vendorItemId=92505701532,HP,"¿À¸à ¸Æ½º 16, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,1,16,1,7,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8935925393?itemId=25890522454&vendorItemId=92876444744,Lenovo,"¸®Àü 7 16IAX10, U9 275HX/5070",,,,0,,,,U9 275HX,5070,32,dual,1024,0,16,7,9,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8836980191?itemId=25752060438&vendorItemId=92740350838,Lenovo,"¸®Àü ÇÁ·Î 5 16IAX10, U9 275HX/5070",,,,0,,,,U9 275HX,5070,32,dual,1024,0,16,3,8,1,243,80,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8873266044?itemId=25890522816&vendorItemId=92876445013,Lenovo,"¸®Àü ÇÁ·Î 5 16IAX10, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,0,16,3,9,1,243,80,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8686463967?itemId=25217316659&vendorItemId=92213738237,Lenovo,"¸®Àü ÇÁ·Î 7 16IAX10, U9 275HX/5080",,,,0,,,,U9 275HX,5080,32,dual,1024,0,16,2,9,1,257,80,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8760962623?itemId=25474920787&vendorItemId=92467342021,Lenovo,"¸®Àü ÇÁ·Î 7 16IAX10, U9 275HX/5070 Ti",,,,0,,,,U9 275HX,5070 Ti,32,dual,1024,0,16,2,9,1,257,80,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9007205840?itemId=27375892821&vendorItemId=94341787823,LG,"±×·¥ÇÁ·Î 16, U5 225H/5050",,,,0,,,,U5 225H,5050,,,,,16,13,6,0,136,90,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9254540096?itemId=27375892823&vendorItemId=94341787824,lg,"±×·¥ÇÁ·Î 17, U5 225H/5050",È­ÀÌÆ®,1,,0,,,,U5 225H,5050,,,,,,13,6,0,148,90,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9395836180?itemId=27904531391&vendorItemId=94863309099,lg,"±×·¥ÇÁ·Î 17, U5 225H/5050",ºí·¢,2,,0,,,,U5 225H,5050,,,,,,13,6,0,148,90,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9395836180?itemId=27904531391&vendorItemId=94863309099,gigabyte,"¿¡¾î·Î X16, R7 350/5060",16GB ·¥,1,,0,,,,R7 350,5060,,,,,,8,6,0,190,76,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8938802218?itemId=26137504736&vendorItemId=93117664782,,"¿¡¾î·Î X16, R7 350/5060",32GB ·¥,2,,0,,,,R7 350,,,,,,,8,6,0,190,76,,ÄíÆÎ,
,,,,,,,0,,,,#VALUE!,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,#VALUE!,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
,,,,,,,0,,,,,,,,,,,,,,,,,ÄíÆÎ,
