id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered
78,https://smartstore.naver.com/samsung_mall/products/12705490880,samsung,"갤럭시북 5프로 NT940XHA-A51A, u5 226v",1,,,0,160,167,9.090909091,u5 226v,16,onboard,256,0,14,8,123,63,oled,7,6.75,네이버,,9.333333333,1.894212705,1.474683544,-6.463878327,1.075949367
64,https://www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx/thinkpad-x13-gen-6-13-inch-intel/21rkcto1wwkr3,lenovo,"씽크패드 x13, u5 225H",1,CTO,,0,160,170,6.25,u5 225H,32,onboard,256,0,13.3,6,98,55,ips,7,6,레노버,,9.166666667,1.727546038,-0.525316456,-17.94012979,1.075949367
63,https://www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/lenovo-thinkpad-e16-gen-3-16-inch-intel/22aycto1wwkr1,lenovo,"씽크패드 e16 gen3, u5 226v",1,CTO,,0,125,117,-6.4,u5 226v,16,onboard,256,0,16,7,170,64,ips,7,7.5,레노버,,8.533333333,1.094212705,0.474683544,2.409638554,1.075949367
62,https://www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/thinkpad-e14-gen-7-14-inch-intel-laptop/21u2cto1wwkr2,lenovo,"씽크패드 e14 gen7, u5 228v",1,CTO,,0,135,133,-1.481481481,u5 228v,32,onboard,512,0,14,7,140,64,ips,7,6.75,레노버,,9.481481481,2.042360853,0.474683544,6.463878327,1.075949367
